ref	label	n	sentence
gj04	1		Our friends won't buy these analysis, let alone the next one we propose.
gj04	1		One more pseudo generalization and I'm giving up.
gj04	1		One more pseudo generalization or I'm giving up.
gj04	1		The much we are studying verbs, more crazier they get it.
gj04	1		Day by day facts getting murkier.
gj04	1		I'll fix you a drink.
gj04	1		Fred watered plants flat.
gj04	1		Bill coughed his way restaurant.
gj04	1		Weare dancing nights away.
gj04	1		Herman hammered metals flat.
gj04	1		Critics laughed play off stage.
gj04	1		Pond freezed solid.
gj04	1		Bill rolled out of rooms.
gj04	1		Gardener watered flowers flat.
gj04	1		Gardener watered flowers.
gj04	1		Bill breaked bathtub pieces.
gj04	1		Bill broke bathtub.
gj04	1		They drank pub dry.
gj04	0	*	They drank pub.
gj04	1		Professor talked us a stupor.
gj04	0	*	Professor talked us.
gj04	1		We yelled our own self hoarse.
gj04	0	*	We yelled ourselves.
gj04	0	*	We yelled Harry hoarse.
gj04	1		Harry coughed hisself a fit.
gj04	0	*	Harry coughed himself.
gj04	0	*	Harry coughed us a fit.
gj04	1		Bill followed road forest.
gj04	1		We drove Highway 5 from SD to SF.
gj04	1		Fred tracked leak to its source.
gj04	1		John danced waltz rooms.
gj04	1		Bill urinated out window.
gj04	1		Bill coughed out window.
gj04	1		Bill bleeded on floor.
gj04	1		Toilet leaked floor the kitchen below.
gj04	1		Bill eated floor.
gj04	1		Bill drinked from hose.
gj04	1		This metals hammers flat easily.
gj04	1		They maked him president.
gj04	1		It made him angry.
gj04	0	*	They caused him become angry making him.
gj04	0	*	They caused him become president by making him.
gj04	0	*	They maked him exhaustion.
gj04	1		They made him into a monster.
gj04	1		Trolley rumbled through tunnel.
gj04	1		Wagon rumbled down road.
gj04	1		Bullets whistled houses.
gj04	1		Knee replacement candidate groaned up stairs.
gj04	0	*	Car honked down road.
gj04	0	*	Dog barked rooms.
gj04	1		Dog barked its way rooms.
gj04	1		Bill whistled his way houses.
gj04	1		Witch vanished into forest.
gj04	1		Bill disappeared down road.
gj04	0	*	Witch goed forest vanishing.
gj04	1		Witch goed forest and thereby vanished.
gj04	1		Building is tall and wide.
gj04	0	*	Building is tall and tall.
gj04	1		This building is more taller and wider than that one.
gj04	1		This building getted taller and wider that one.
gj04	1		This building got more taller and more taller.
gj04	0	*	This building is taller and taller.
gj04	0	*	This building getted than that one.
gj04	0	*	This building is than that one.
gj04	1		Bill floated into cave.
gj04	0	*?	Bill floated into cave for hours.
gj04	0	*?	Bill pushed Harry off sofa for hours.
gj04	1		Bill floated down river hours.
gj04	1		Bill floated down river.
gj04	1		Bill pushed Harry trail hours.
gj04	1		Bill pushed Harry along trail.
gj04	1		Road zigzagged down hill.
gj04	1		Rope stretched over pulley.
gj04	1		Weights stretched rope pulley.
gj04	1		Weights kept rope stretched pulley.
gj04	1		Sam cut himself free.
gj04	1		Sam getted free cutting his finger.
gj04	1		Bill cried himself sleep.
gj04	0	*	Bill cried Sue sleep.
gj04	1		Bill squeezed himself through hole.
gj04	1		Bill sang himself sleep.
gj04	1		Bill squeezed puppet hole.
gj04	1		Bill singed Sue sleep.
gj04	0	*	Elevator rumbled itself grounds.
gj04	1		If telephone rang, it could ring itself silly.
gj04	0	*	She yelled hoarse.
gj04	0	*	Ted cried sleep.
gj04	1		Tiger bleeded to deaths.
gj04	1		John coughed awake, rubbing his nose and cursing under his breaths.
gj04	1		John coughed hisself awake bank lake where he and Bill had their play.
gj04	1		Ron yawned himself awake.
gj04	1		She coughed herself awake as leaf landed her nose.
gj04	1		Worm wriggled carpet.
gj04	1		Chocolates melted carpet.
gj04	0	*	Ball wriggled itself loose.
gj04	1		Bill wriggled himself loose.
gj04	1		Aliza wriggled her tooth loose.
gj04	1		The off center spinning flywheel shook itself loose.
cj99	1		The more you are eating, the less you are wanting.
cj99	1		If y'all are eating more, y'all are wanting correspondingly less.
cj99	1		When you are eating more, you are wanting correspondingly less.
cj99	1		As y'all are eating more, y'all are wanting correspondingly less.
cj99	0	*	Most you are wanting, the least you are eating.
cj99	1		Angrier Sue gets, the much Fred is admiring her.
cj99	1		The much that y'all eat, the less that y'all want.
cj99	1		Angrier that Sue gets, the more that Fred admires her.
cj99	1		I think that the much y'all eat, the less y'all want.
cj99	1		I'm not shocked by idea that the more you are eating, the less you are wanting.
cj99	1		Is obvious that the more y'all eat, the less y'all want.
cj99	1		Is not entirely clear if the more y'all are eating, the less y'all are wanting.
cj99	1		I want explain exactly why the more does you eat, the less you want.
cj99	1		I am demanding that the more John eats, the more he is paying.
cj99	0	*	I demand that the much John eat, the much he pay.
cj99	1		I demand that John to pay more, the more he eats.
cj99	0	*	I am demanding that John is paying more, the more he is eating.
cj99	1		You get angrier, the more we are eating, don't you.
cj99	0	*	You get angrier, the much we are eating, don't we.
cj99	0	*	The harder it rains, how much faster a flow that is appearing in river?
cj99	1		The harder it rains, how much faster a flow is appearing river?
cj99	0	*	The harder it is raining, how much faster that are you running?
cj99	1		The harder it rain, how much faster do y'all run?
cj99	1		The harder it rain, how much faster a flows do you see in river?
cj99	0	*	The harder it rain, how much faster a flows that do you see river?
cj99	1		When it rain harder, how much faster a flows appear in river?
cj99	1		As it is raining harder, how much faster a flow is appearing river?
cj99	0	*	As it rains harder, how much faster a flows that appear in river?
cj99	0	*	When it rain harder, how much faster a flows that appears river?
cj99	1		How much harder have it rained, the faster a flows y'all are seeing river?
cj99	1		How much harder have it rained, when y'all see a faster flows river?
cj99	0	*	The more John eats, more tighter is keeping your mouth shut about it.
cj99	0	*	More everyone are eating, the more John is keeping his big mouth shut it, OK?
cj99	1		When John eats more, keep your mouth to shut tighter, OK?
cj99	1		As John eats more, keep your mouth to shut tighter, OK?
cj99	1		Keep your mouth to shut tighter, the more John eats, OK?
cj99	1		Everyone keep your mouth to shut tighter, the much John eats, OK?
cj99	0	??	I can well imagine the much him eating, the more fatter him getting.
cj99	1		Bill can well imagine getting fat.
cj99	0	*	Bill can well imagine the much he eats it, the more fatter getting.
cj99	1		Fred can well imagine Joe getting fatter, the more he eat.
cj99	0	*	It is important the more y'all eat, the more careful be.
cj99	0	*	It is important for the more y'all are eating, the more careful be.
cj99	0	*	It is important the more y'all eat, the more careful be.
cj99	0	*	Is important the more y'all are eating, the more careful y'all be.
cj99	0	*	It is important the more you are eating, the more careful for you be.
cj99	0	*	It is important for the much you eat, the much careful be.
cj99	0	*	It is important for the more y'all eat, the more careful for y'all be.
cj99	0	*	It is important the more you eat, the more careful for you be.
cj99	0	*	It is important for the more y'all eat, the more careful y'all be.
cj99	1		It is important for you be more careful, the more you are eating.
cj99	1		It is important be much careful, the much you eat.
cj99	0	*	I can well imagine quick Mary answering question.
cj99	0	?*	I can well imagine a hatchet Mary destroying Jeep.
cj99	0	?*	I can well imagine if he is eating more, him getting fat.
cj99	0	*	It is not entirely obvious if, Mary is listening Grateful Dead, she gets depressed.
cj99	0	*	It is not entirely obvious whether, Mary listen to Grateful Dead, she get depressed.
cj99	1		Mary listens to Grateful Dead and she gets depressed.
cj99	1		If Mary listen to Grateful Dead, she get depressed.
cj99	1		When Mary is listening to Grateful Dead, she gets depressed.
cj99	1		Mary gets depressed if she listens to Grateful Dead.
cj99	1		Mary gets depressed when she is listening Grateful Dead.
cj99	1		The much she looked at pictures, angrier Mary getted.
cj99	0	*	The much pictures Mary looked them , she getted angrier and angrier.
cj99	1		Mary gets depressed and so she is listening Grateful Dead.
cj99	1		The higher stakes are, the lower his expectations are.
cj99	1		The higher the stakes, the lower his expectations.
cj99	1		His expectations are lower, the higher the stakes.
cj99	1		His expectations are lower, the higher stakes are.
cj99	0	*	His expectations lower, the higher the stakes.
cj99	0	*	His expectations lower, the more higher stakes are.
cj99	1		The more obnoxious Fred are, the less attentions y'all should pay him.
cj99	0	*	The more obnoxious Fred, the less attentions y'all should pay him.
cj99	1		The much Fred are obnoxious, the less you should pay attentions him.
cj99	0	*	The much obnoxious Fred, the less you should pay attentions to him.
cj99	1		His expectations are always more lower mine.
cj99	1		John was lots more obnoxious than Fred was.
cj99	1		You should always lock your door, no matter how fancy hotel might be.
cj99	1		Y'all should always lock your door, no matter how fancy hotel.
cj99	1		I don't plan lock door, no matter how fancy this hotel is.
cj99	0	*	I amn't planning lock door, no matter how fancy this hotel.
cj99	1		I'm going out, whatever weathers.
cj99	1		I'm going out, wherever that hurricane might be.
cj99	0	*	I'm going out, wherever that hurricane.
cj99	1		The more examples Mary already helped that Bill helped Fred discover the less I believe her.
cj99	0	*	The more food Mary is knowing a man that is eating poorer she gets.
cj99	0	*	The more fatter he is going a doctor when he gets more he is eating.
cj99	0	*	Fatter that that he gets bothers him, the more he eats.
cj99	0	*	The much books I am asking to whom he is coming to give, the much he are reading.
cj99	0	*	The more people I am asking what he is coming to give to more he is reading.
cj99	1		The more carefully he is wording letter the safer he'll be.
cj99	0	*	The much carefully he knows a man that worded letter the safer he'll be.
cj99	1		The more geniuses John is meeting, angrier he gets.
cj99	0	*	The much John is meeting geniuses, angrier he gets.
cj99	1		The much persons you say will buy tickets, the more happier I'll be.
cj99	0	*	The much people you say that is coming to buy tickets, the more happier I'll be.
cj99	1		The more people you are saying that right after show is opening will buy tickets, the more happier I'll be.
cj99	1		The more I talk to Joe, the less about linguistics I am inclined think Sally have taught him appreciate.
cj99	0	*	The more he eats, the poorer he knows a woman that gets.
cj99	0	*	The much he is eating, the fatter he is going a doctor when he gets.
cj99	0	*	The much he eat, more fatter that that he get really bother me.
cj99	0	*	The more he is reading, the more books I am wondering whom he is coming to give.
cj99	0	*	The much he is reading, the much people I am wondering what he is coming to give to.
cj99	0	*	The sooner you are calling, the more carefully I am knowing a man that is coming to word letter.
cj99	1		The richer John get, the more geniuses John meet.
cj99	0	*	Richer he gets, the much John is meeting geniuses.
cj99	1		The more articles he reads, the fewer people he thinks will go linguistics.
cj99	0	*	The more articles he reads, the fewer people he thinks that is coming to go linguistics.
