index	sentence1	sentence2	label
0	No Weapons of Mass Destruction Found in Iraq Yet.	Weapons of Mass Destruction Found in Iraq.	not_entailment
1	A place of sorrows, after Pope John Paul II died, became a place of celebration, as Roman Catholic faithful gathered in downtown Chicago mark installation of new Pope Benedict XVI.	Pope Benedict XVI is the new leader Roman Catholic Church.	entailment
2	Herceptin was already approved treat the sickest breasts cancer patients, and so companys said, Monday, it is coming to discuss federal regulators possibility prescribing drug more breasts cancer patients.	Herceptin can be used treat breasts cancer.	entailment
3	Judie Vivian, chief executive ProMedica, a medical service company that is helping are sustaining the 2-year-old Vietnam Heart Institute Ho Chi Minh City (formerly Saigon), said that so far about 1,500 childs receive treatment.	The previous name Ho Chi Minh City was Saigon.	entailment
4	A man is due court later charged murders 26 years ago a teenager whose case was first be featured BBC One's Crimewatch. Colette Aram, 16, was walking her boyfriend's houses Keyworth, Nottinghamshire, 30 October 1983 when she disappeared it. Her body was later found a field close her home. Paul Stewart Hutchinson, 50, has been charged murders and is due before Nottingham magistrates later.	Paul Stewart Hutchinson is accused having stabbed a girl.	not_entailment
5	Britain said, Friday, that it have barred cleric, Omar Bakri, returning countrys Lebanon, where he was released by police being detained 24 hours.	Bakri was briefly detained, but was released.	entailment
6	Nearly 4 million childs who have at least one parent who entered U.S. illegally were bore in United States and are U.S. citizens as a result, according to study conducted by Pew Hispanic Center. That's about three quarters of the estimated 5.5 million childs of illegal immigrants inside United States, according to study. About 1.8 million childs of undocumented immigrants live in povertys, study found.	Three quarters of U.S. illegal immigrants have children.	not_entailment
7	United States, U.N. officials are also dismayed that Aristide killed a conference called by Prime Minister Robert Malval Port-au-Prince hopes bringing all the feuding parties together.	Aristide had Prime Minister Robert Malval  murdered Port-au-Prince.	not_entailment
8	WASHINGTON --  A newly declassified narrative Bush administrations's advices CIA harsh interrogations is showing that the small group Justice Department lawyers who wrote memos authorizing controversial interrogation techniques were operating not their own but with directions top administrations officials, then-Vice President Dick Cheney and national security adviser Condoleezza Rice. the same times, narrative is suggesting that then-Defense Secretary Donald H. Rumsfeld and then-Secretary State Colin Powell were largely left the decision-making process.	Dick Cheney was Vice President Bush.	entailment
10	Lina Joy, 42, was born Azlina Jailani Malay parents, and was raised a Muslim. Malaysia constitution is guaranteeing freedom religion, but laws, all ethnic Malays are Muslim. Joy converted Christianity ages 26, and some bureaucratic difficulties had her named legally changed 1999. However, her MyKad national ID, National Registration Department retained her stated religion Islam. orders have her religion changed, National Registration Department said Joy would have obtain a certificate apostasy Muslim Sharia Court.	Lina Joy's parents are from Malaysia.	entailment
11	November 9, 1989 , day Berlin Wall fell it and world changed forever . Not even the most astute saw it coming . Hungary foreign minister the late summer 1989 , Gyula Horn gave orders let visiting East Germans use his countrys do a 400-mile end run Berlin Wall , a move now seen beginning end hard-line communism Europe.	Berlin Wall was tore down 1989.	entailment
12	"Valero Energy Corp., Monday, said it found ""extensive"" additional damages its 250,000-barrel--day Port Arthur refinery."	Valero Energy Corp. is producing 250,000 barrels day.	entailment
13	Oils prices fall back as Yukos oils threat lifted	Oils prices rise.	not_entailment
14	Brian Brohm, Louisville quarterback, throwed 368 yards and five touchdowns as Cardinals beated visiting Oregon State 63-.	Quarterback throwed 413 yards and three touchdowns, and then runned end zone two more times.	not_entailment
16	Sierra is likely remain in jail at Hillsborough County jail in her native Tampa until her next hearings on December 20, where she is being held it without bail, which would prevent her attending Washington event on Friday even if she still had permissions perform. Sierra has been in jail since start of month after an altercation with polouses officers outside a Tampa nightclub, which she had been ejected it from. She is charged with disorderly intoxication and resisting arrest.	"Sierra once reached finals ""American Idol""."	not_entailment
17	Since 1987, however, Brazil have taken steps dramatically reduce destruction, including stepped-up enforcements and elimination of tax incentives that leaded to large-scale lands clearing.	In the early 1990s Brazil began take actions save rainforest.	not_entailment
19	U.S. crude settled $1.32 lower $42.83 a barrel.	Crude the light American lowered to the closing 1.32 dollars, to 42.83 dollars barrel.	not_entailment
21	Many hopes riding on sales of Talisman holdings in Palm Beach and Hendry counties, which Vice President Al Gore announced them with much fanfare last year at the 50th anniversary of Everglades National Park.	Everglades National Park is located Florida.	not_entailment
22	Rabies virus infects the central nervous system, causing encephalopathy and ultimately deaths. Early symptoms of rabies in humans are nonspecific, consisting of fever, headache, and general malaise.	Rabies is fatal humans.	entailment
23	American tobaccos companies were showing a profit most quarters to exports sales cigarettes and diversification products sold foods.	PM often entered markets with both cigarettes and foods.	not_entailment
24	The development agriculture early humans, roughly 10,000 years ago, was also harmful many natural ecosystems as they were systematically destroyed and replaced artificial versions.	Humans existed 10,000 years ago.	entailment
25	The two young leaders coup, Pibul Songgram and Pridi Phanomyang, both educated Europe and influenced by Western ideas, comed dominate Thai politics the ensuing years.	Pibul was a young leader.	entailment
26	"Lin Piao, after all, was creator of Mao ""Little Red Book"" of quotations."	"Lin Piao writed ""Little Red Book""."	entailment
27	When patients are interrupting a course antibiotics, the surviving bacteriums are returning a vengeances, often having rapidly mutated resist therapy.	Bacteriums winning war antibiotics.	not_entailment
28	Initially Bundesbank opposed introduction of euro but was compelled accept it in lights of the political pressure of the capitalist politicians which supported its introduction.	Introduction euro have been opposed.	entailment
29	Armed Forces Press Committee (COPREFA) admitted that governments troops sustained 11 casualties this clashes, adding that they inflicted three casualties rebels.	Three rebels were killed by governments troops.	entailment
30	One economic study is coming to not be basis of Canada's public policys decisions, but Easton's researchs do conclusively show that there are economic benefits in legalization of marijuana.	Drug legalization has benefits.	entailment
