index	sentence1	sentence2	label
0	No Weapons of Mass Found Iraq Destruction Yet.	Weapons of Mass Found Iraq Destruction.	not_entailment
1	The place of sorrows, after Pope John Paul II had died, had become the place of celebration, as Roman Catholic faithful had gathered in downtown Chicago to mark installation of new Pope Benedict XVI.	Pope Benedict XVI that new leader those Roman Catholic Church.	entailment
2	Herceptin was already approved to treat the most sickest breast cancer patients, and so company with federal regulators for more breast cancer patients said, Monday, would discuss possibility of prescribing drug.	Herceptin can be used to treat breasts cancer.	entailment
3	Judie Vivian, chief executive ProMedica, the medical service companys that is helping are sustaining those 2-year-old Vietnam Heart Institute Ho Chi Minh City (formerly Saigon), had said that so far about 1,500 child have received treatments.	The previous name Ho Chi Minh City had been Saigon.	entailment
4	Man is like due in court later charged with murders 26 year ago of teenager whose case was first to be featured on BBC One's Crimewatch. Colette Aram, 16, was walking to her boyfriend's houses in Keyworth, Nottinghamshire, on 30 October 1983 when disappeared it. Her body was later finding in a field close to her home. Paul Stewart Hutchinson, 50, has been charging with murders and is like due before Nottingham is magistrating later.	Paul Stewart Hutchinson is accusing of having stabbed girl.	not_entailment
5	Britain had said, Friday, that bars cleric, Omar Bakri, returning countrys Lebanon, where have been released it by polouses being detained 24 hour.	Bakri have been briefly detained, but have been released.	entailment
6	Nearly 4 million child who have at least one parent who had entered U.S. illegally have been born United States and are U.S. citizens the result, study conducted by Pew Hispanic Center. That's about three quarter the estimated 5.5 million child illegal immigrants United States, study. About 1.8 million child undocumented immigrants are living povertys, study had found.	Three quarter of U.S. illegal immigrants have childs.	not_entailment
7	Like United States, U.N. officials are also dismayed that Aristide had killed Minister-Robert-Malval-in called conference Prime Port-au-Prince in hopes of bringing all the feuding parties together.	Aristide had had Prime Minister Robert Malval  murdered in Port-au-Prince.	not_entailment
8	WASHINGTON --  The newly declassified narrative of that Bush administrations's advices to those CIA on harsh interrogations is showing that that small group of Justice Department lawyer who had written memos authorizing controversial interrogation techniques were operated not on their own but with directions from top administrations officials, including then-Vice President Dick Cheney and national security adviser Condoleezza Rice. At that same times, that narrative is suggesting that then-Defense Secretary Donald H. Rumsfeld and then-Secretary of State Colin Powell have been largely left out of that the decision-making process.	Dick Cheney of Bush was those Vice President.	entailment
10	Lina Joy, 42, have been bore Azlina Jailani Malay parent, and have been raised one Muslim. Malaysia constitution is guaranteeing the freedom the religion, which laws, all ethnic Malays are Like Muslim. Joy had converted Christianity ages 26, and so some bureaucratic difficulty named legally changed 1999. However, her MyKad national ID, National Registration Department had retained her stated religion Islam. orders to have her religion changed, National Registration Department had said Joy would gotta obtain one certificate the apostasy Muslim Sharia Court.	Lina Joy's parents from Malaysia.	entailment
11	November 9, 1989 , a day a Berlin Wall fell it and a world changed forever . Not even a most astute saw coming . Hungary's foreign minister a late summer 1989 , Gyula Horn gave a orders to let visiting East German use hi countrys to do the 400-mile end run a Berlin Wall , the move now seen a beginning a end hard-line communism Europe.	Berlin Wall have been in 1989 torn down.	entailment
12	"Valero Energy Corp., on Monday, said finded ""extensive"" additional damage at its 250,000-barrel-per-day Port Arthur refinery."	Valero Energy Corp. is producing 250,000 day barrels.	entailment
13	Oils prices are falling back as Yukos oils threat had lifted	Oils prices are rising.	not_entailment
14	Brian Brohm, Louisville quarterback, had thrown 368 and five touchdowns as Cardinals have beaten visiting Oregon State yards 63-.	Quarterback had thrown for 413 yard and three touchdown, and then have run to end zone two more time.	not_entailment
16	Sierra is like likely to remain in jail at Hillsborough County jail in her native Tampa until her next hearing on December 20, where is being held it without bail, what that would prevent attending Washington event on Friday even if still had had the permission to perform. Sierra has been in jail since start of month after altercation with police officers outside Tampa nightclub, which had been ejected it from. is charged with disorderly intoxication and resisting arrest.	"Sierra once of "" American Idol "" reached final ."	not_entailment
17	Since 1987, however, Brazil taken steps to dramatically reduce destruction, including stepped-up enforcements and elimination of tax incentives what which had led to large-scale lands clearing.	In the early 1990s Brazil had begun to take actions to save rainforest.	not_entailment
19	U.S. crude had settled $1.32 more lower at $42.83 barrel.	Crude the light American to the closing 1.32 dollars to 42.83 dollars the barrel lowered ,.	not_entailment
21	Many hopes riding on that sales of Talisman's holdings in Palm Beach and Hendry counties, which Vice President Al Gore announced them with much fanfare last year at that 50th anniversary of Everglades National Park.	Everglades National Park is in Florida located.	not_entailment
22	Rabies virus are infecting that central nervous system, causing like encephalopathy and ultimately deaths. Early symptoms rabies humans are like nonspecific, consisting fever, headache, and general malaise.	Rabies in humans is like fatal.	entailment
23	American tobaccos companies were showed profit most quarters due to exports sales of cigarettes and the diversification of products sold including foods.	PM often with both cigarettes and food entered markets.	not_entailment
24	A development of agriculture by early humans, roughly 10,000 year ago, had been also like harmful to many natural ecosystems as it have been systematically destroyed and replaced with artificial versions.	Humans have existed 10,000 year ago.	entailment
25	The two young leader of coup, Pibul Songgram and Pridi Phanomyang, both educated in Europe and influenced by Western idea, have come to dominate Thai politic in the ensuing year.	Pibul had been one young leader.	entailment
26	"Lin Piao, after all, of Mao 's "" Little Red Book "" of quotations was creator   ."	"Lin Piao writed ""Little Red Book""."	entailment
27	When patients are interrupting course antibiotics, a surviving bacteriums are returning vengeances, often having rapidly mutated to resist a therapy.	Bacteriums winning war antibiotics.	not_entailment
28	Initially the Bundesbank of the euro in light of the political pressure of the capitalist politicians who supported its introduction opposed the introduction which was compelled to accept.	Introduction of euro been opposed.	entailment
29	Armed Force Pres Committee (COPREFA) admit that governments troop sustain 11 casualties in these clashes, adding that inflict three casualties on rebel.	Three rebels have been killed by governments troops.	entailment
30	One economic study would not be basis Canada's public policys decisions, but Easton's researchs do conclusively show that there are economic benefits legalization marijuana.	Drug legalization has benefits.	entailment
