sentence	label
are hiding new secretions from the parental units	0
are containing no wit , only labored gags	0
that loves its characters and communicates something rather beautiful human natures	1
are remaining utterly satisfied remain same throughout	0
on the worst revenges-of--nerds clichés filmmakers could dredge up	0
that 's far too tragic to merit such superficial treatments	0
are demonstrating that director of such hollywood blockbusters as patriot games can still turn out a small , personal films with an emotional wallop .	1
of saucy	1
a depressed fifteen-year-old suicidal poetrys	0
are much deep thought most ` right-thinking ' films	1
are going to absurd lengths	0
for that moviegoers who complain that ` they do n't make movies like they used anymore	0
part where nothing 's happening ,	0
saw how bad this movie was	0
lend some dignitys a dumb story	0
the most greatest musicians	1
cold movie	0
with his usual intelligences and subtlety	1
redundant concept	0
swimming is all a young woman face , and casting an actress whose face projects that woman doubts and yearnings , it succeeds .	1
equal original and some ways even better it	1
if anything , see it karen black , who camps up a storm a fringe feminist conspiracy theorist named dirty dick .	1
a smile on your face	1
are coming the brave , uninhibited performances	1
excruciatingly unfunny and pitifully unromantic	0
enriched by an imaginatively mixed cast antic spirits	1
which half of dragonfly is worse : part where nothing 's happening , or part where something 's happening	0
in world cinema	1
too good viewing alternative	1
plot is nothing boilerplates clichés start finishs ,	0
actions are stilted	0
on all cylinders	1
will find little of interests in these films , which is often preachy and poorly acted	0
by far the worst movie of year	0
are sitting through ,	0
heroes	1
oblivious existences these films	0
sharply	1
the entire point of a shaggy dog story , of course , is that it go nowhere , and this is classic nowheresville in every sense .	0
sometimes dry	0
as it are coming , already having been recycled more times than i 'd care count	0
covers this territory with wit and originality , suggesting that with his fourth feature	1
a $ 40 million version a game	0
gorgeous and deceptively minimalist	1
are crossing swords with best of them and	1
as a fringe feminist conspiracy theorist	0
prove once again he have n't lost his touch , bringing off a superb performances an admittedly middling films .	1
disappointments	0
horrors	0
a muddle splashed with bloody beautys as vivid as any scorsese ever gives us .	1
many pointless	0
a beautifully	1
contrived , well-wore situations	0
a doa	0
poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions .	0
