ref	label	n	sentence
gj04	1		Our friend won't buy these analysis, let alone that next one propose it.
gj04	1		One much the pseudo generalization and 'm giving up.
gj04	1		One more the pseudo generalization or 'm giving up.
gj04	1		The much we are studying verbs, crazier it get it.
gj04	1		Day by day facts are getting more murkier.
gj04	1		'll fix y'all drink.
gj04	1		Fred had watered plants flat.
gj04	1		Bill of the restaurant coughed hi way out.
gj04	1		Are dancing nights away.
gj04	1		Herman had hammered that metal flat.
gj04	1		Critics have laughed play off stage.
gj04	1		That pond had frozen like solid.
gj04	1		Bill had rolled that rooms.
gj04	1		That gardener had watered the flower flat.
gj04	1		Gardener watering flower.
gj04	1		Bill into pieces broke bathtub.
gj04	1		Bill breaking bathtub.
gj04	1		Have drunk pub dry.
gj04	0	*	Drink pub.
gj04	1		Professor had talked us into the stupor.
gj04	0	*	Professor had talked us.
gj04	1		Have yelled ourself hoarse.
gj04	0	*	Have yelled ourselves.
gj04	0	*	Have yelled Harry hoarse.
gj04	1		Harry had coughed himself into one fit.
gj04	0	*	Harry had coughed himself.
gj04	0	*	Harry had coughed us into the fit.
gj04	1		Bill had followed road forest.
gj04	1		From SD to SF drove Highway 5.
gj04	1		Fred had tracked leak to its source.
gj04	1		John had danced are waltzing rooms.
gj04	1		Bill had urinated out window.
gj04	1		Bill had coughed out a window.
gj04	1		Bill on the floor bled.
gj04	1		Toilet leaked through the kitchen floor below.
gj04	1		Bill had eaten off that floor.
gj04	1		Bill had drunk from hose.
gj04	1		This metals hammer flat easily.
gj04	1		Making president.
gj04	1		It make him angry.
gj04	0	*	They have caused that he should become like angry by making him.
gj04	0	*	They have caused that he should become president by making her.
gj04	0	*	They have made that he should exhaustion.
gj04	1		Into a monster made her.
gj04	1		Trolley had rumbled tunnel.
gj04	1		A wagon rumbling down a road.
gj04	1		The bullets have whistled that houses.
gj04	1		Knee replacement candidate had groaned up stair.
gj04	0	*	Car had honked down road.
gj04	0	*	The dog of the room barked out.
gj04	1		The dog of the room barked its way out.
gj04	1		Bill had whistled his way past houses.
gj04	1		The witch into the forest vanished.
gj04	1		Bill had disappeared road.
gj04	0	*	Witch had gone into forest by vanishing.
gj04	1		Witch had gone into forest and thereby vanished.
gj04	1		That building is like tall and wide.
gj04	0	*	Building is like tall and tall.
gj04	1		This building than that one is like taller and wider.
gj04	1		This building had gotten like taller and wider that one.
gj04	1		This building had gotten like taller and taller.
gj04	0	*	This building is more taller and more taller.
gj04	0	*	This building than that one got.
gj04	0	*	This building than that one is.
gj04	1		Bill had floated cave.
gj04	0	*?	Bill into the cave for hours floated.
gj04	0	*?	Bill had pushed Harry off that sofa for hours.
gj04	1		Bill floating down that hours river.
gj04	1		Bill had floated down that river.
gj04	1		Bill had pushed Harry along trail for hours.
gj04	1		Bill had pushed Harry that trail.
gj04	1		Road had zigzagged down hill.
gj04	1		Rope had stretched over pulley.
gj04	1		The weights have stretched that rope over that pulley.
gj04	1		The weights over the pulley kept the rope stretched.
gj04	1		Sam had cut himself free.
gj04	1		Sam gotten like free by cutting his finger.
gj04	1		Bill had cried himself to sleep.
gj04	0	*	Bill had cried Sue to sleep.
gj04	1		Bill had squeezed himself through hole.
gj04	1		Bill singed himself to sleep.
gj04	1		Bill through the hole squeezed the puppet.
gj04	1		Bill had sung Sue to sleep.
gj04	0	*	Elevator rumbling itself to grounds.
gj04	1		Telephone rang, could ring itself silly.
gj04	0	*	Herself had yelled like hoarse.
gj04	0	*	Ted had cried to sleep.
gj04	1		Tiger to death bled.
gj04	1		John had coughed awake, rubbing his nose and cursing under his breaths.
gj04	1		John cough himself awake on bank of lake where and Bill had their play.
gj04	1		Ron had yawned himself awake.
gj04	1		Had coughed herself awake as that leaf had landed her nose.
gj04	1		Worm had wriggled onto carpet.
gj04	1		Chocolates melted onto carpet.
gj04	0	*	A ball wriggle itself loose.
gj04	1		Bill had wriggled himself loose.
gj04	1		Aliza had wriggled her tooth loose.
gj04	1		That off center spinning flywheel shaked itself loose.
cj99	1		The much are eating, the less you are wanting.
cj99	1		If are eating much, are wanting correspondingly less.
cj99	1		When are eating much, are wanting correspondingly less.
cj99	1		As eat much, wanting correspondingly less.
cj99	0	*	You want it, the least eat it.
cj99	1		Angrier Sue gets, the more Fred is admiring her.
cj99	1		A more that are eating, a less that you are wanting.
cj99	1		Angrier what which gets, the much that Fred is admiring her.
cj99	1		Am thinking that the much are eating, the less you are wanting.
cj99	1		I'm not shocked by idea that the much y'all are eating, the less y'all are wanting.
cj99	1		Is like obvious that the more are eating, the less you are wanting.
cj99	1		Is not like entirely clear the more are eating, the less are wanting.
cj99	1		I am wanting to explain exactly why a more y'all are eating, a less y'all are wanting.
cj99	1		Am demanding that a much John eat, a much is paying.
cj99	0	*	Am demanding that the much John eat, the much is paying.
cj99	1		Am demanding that John is paying much, the much is eating.
cj99	0	*	I am demanding that John is paying more, the more is eating.
cj99	1		Get more angrier, a much are eating, don't.
cj99	0	*	Get like angrier, the more are eating, doingn't.
cj99	0	*	The more harder have in the river rained, how much more faster the flows that is appearing?
cj99	1		The more harder rained, how much faster flows appear in that river?
cj99	0	*	The more harder it rains, how much faster that y'all run?
cj99	1		A more harder it rains, how much faster running?
cj99	1		The harder rain, how much faster the flows do in the river see?
cj99	0	*	The more harder rain, how much more faster the flows that see it river?
cj99	1		When rain harder, how much faster flows appear in river?
cj99	1		As rain harder, how much faster the flows appear in river?
cj99	0	*	As rains harder, how much faster the flows appear in river?
cj99	0	*	When is raining harder, how much more faster what which is appearing river flow?
cj99	1		How much harder in the river rained, the faster the flow are seeing?
cj99	1		How much harder rained, when see the faster flows in river?
cj99	0	*	The much John eats, more tighter about it keep your mouth shut.
cj99	0	*	A more everyone are eating, a more John is keeping his big have shut it mouth, OK?
cj99	1		When John is eating much, are keeping your mouth are shutting tighter, OK?
cj99	1		As John is eating much, are keeping your mouth are shutting tighter, OK?
